Gene Name,Upregulated,Downregulated,Max
TMED3,0.5410547256469727,0.5515981316566467,0.5515981316566467
TOP1,0.5410977005958557,0.551596999168396,0.551596999168396
VAPA,0.5515874028205872,0.5418288111686707,0.5515874028205872
AP3B1,0.5515682697296143,0.5480930209159851,0.5515682697296143
RIN2,0.5447478294372559,0.5515578389167786,0.5515578389167786
CSTF1,0.5515549182891846,0.5463094115257263,0.5515549182891846
MAVS,0.5447769165039062,0.5515445470809937,0.5515445470809937
XPO4,0.5410547256469727,0.5515426993370056,0.5515426993370056
ALDH9A1,0.5444056987762451,0.5515276193618774,0.5515276193618774
POLR2M,0.551520824432373,0.5410547256469727,0.551520824432373
POP5,0.5515184998512268,0.5431399345397949,0.5515184998512268
ARMCX6,0.5419512987136841,0.5515158772468567,0.5515158772468567
EGLN1,0.5515146851539612,0.5490410923957825,0.5515146851539612
S100PBP,0.5410547256469727,0.5515140891075134,0.5515140891075134
NDUFA7,0.5515127182006836,0.5459185242652893,0.5515127182006836
ZFP36L2,0.5410547256469727,0.5515109896659851,0.5515109896659851
ASNSD1,0.5410547256469727,0.5515064001083374,0.5515064001083374
RPS15,0.551502525806427,0.5392674207687378,0.551502525806427
U2SURP,0.5514993667602539,0.5410547256469727,0.5514993667602539
IFNAR2,0.5514945983886719,0.547799289226532,0.5514945983886719
RPA1,0.5410547256469727,0.551485538482666,0.551485538482666
NIPSNAP2,0.5514730215072632,0.5435217022895813,0.5514730215072632
RPL28,0.5416247844696045,0.5514705181121826,0.5514705181121826
TUFM,0.5514688491821289,0.5410547256469727,0.5514688491821289
USB1,0.5438016653060913,0.5514598488807678,0.5514598488807678
CMTR1,0.5514541268348694,0.5414152145385742,0.5514541268348694
RABL2B,0.5410547256469727,0.5514520406723022,0.5514520406723022
ZFP36L1,0.5498117208480835,0.551447331905365,0.551447331905365
PSMD10,0.5367975831031799,0.5514439940452576,0.5514439940452576
MED13L,0.5514395236968994,0.5130129456520081,0.5514395236968994
AP2S1,0.5410547256469727,0.5514357089996338,0.5514357089996338
MAP7D1,0.5435997247695923,0.5514281988143921,0.5514281988143921
ARF1,0.5417033433914185,0.5514159798622131,0.5514159798622131
TRAF6,0.5416715145111084,0.5514146089553833,0.5514146089553833
CCDC6,0.5514132380485535,0.5410547256469727,0.5514132380485535
COPB2,0.5514108538627625,0.5211730003356934,0.5514108538627625
ADNP2,0.5514059662818909,0.543817937374115,0.5514059662818909
AMMECR1,0.5514043569564819,0.5433875918388367,0.5514043569564819
TSPAN3,0.5410547256469727,0.5513821840286255,0.5513821840286255
